YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA PLANTED, LONG GRAIN in ACRES","AREA PLANTED, MEDIUM GRAIN in ACRES","AREA PLANTED, SHORT GRAIN in ACRES","AREA PLANTED in ACRES","AREA HARVESTED, LONG GRAIN in ACRES","AREA HARVESTED, MEDIUM GRAIN in ACRES","AREA HARVESTED in ACRES","AREA HARVESTED, SHORT GRAIN in ACRES","PRODUCTION in $","PRODUCTION, SHORT GRAIN in CWT","PRODUCTION, LONG GRAIN in CWT","PRODUCTION in CWT","PRODUCTION, MEDIUM GRAIN in CWT","YIELD, SHORT GRAIN in LB / ACRE","YIELD, MEDIUM GRAIN in LB / ACRE","YIELD, LONG GRAIN in LB / ACRE","YIELD in LB / ACRE","PRICE RECEIVED in $ / CWT","PRICE RECEIVED, MEDIUM-SHORT GRAIN in $ / CWT","PRICE RECEIVED, LONG GRAIN in $ / CWT","YIELD in LB / NET PLANTED ACRE"
1895,TEXAS,48,"  ","   ",YEAR,RICE," "," "," "," "," "," ","5,000"," "," "," "," ","90,000"," "," "," "," ","1,800"," "," "," "," "
1895,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","70,000"," "," "," "," ","756,000"," "," "," "," ","1,080"," "," "," "," "
1895,LOUISIANA,22,"  ","   ",YEAR,RICE," "," "," "," "," "," ","170,000"," "," "," "," ","2,142,000"," "," "," "," ","1,260"," "," "," "," "
1895,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","25,000"," "," "," "," ","236,000"," "," "," "," ",945," "," "," "," "
1895,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","2,000"," "," "," "," ","14,000"," "," "," "," ",675," "," "," "," "
1895,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","20,000"," "," "," "," ","103,000"," "," "," "," ",518," "," "," "," "
1896,"SOUTH CAROLINA",45,"  ","   ",YEAR,RICE," "," "," "," "," "," ","71,000"," "," "," "," ","703,000"," "," "," "," ",990," "," "," "," "
1896,"NORTH CAROLINA",37,"  ","   ",YEAR,RICE," "," "," "," "," "," ","19,000"," "," "," "," ","94,000"," "," "," "," ",495," "," "," "," "
1896,GEORGIA,13,"  ","   ",YEAR,RICE," "," "," "," "," "," ","23,000"," "," "," "," ","196,000"," "," "," "," ",855," "," "," "," "
1896,FLORIDA,12,"  ","   ",YEAR,RICE," "," "," "," "," "," ","3,000"," "," "," "," ","21,000"," "," "," "," ",690," "," "," "," "
