"Year_First","Year_Last","Country","PDF"
"",NA,"Philippines","internal-pdf://2699927534.pdf"
"",NA,"Saudi Arabia",NA
"",NA,"Saudi Arabia",NA
"",1954,"Japan",NA
"",1954,"Japan",NA
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Mexico",NA
"1972",1972,"Mozambique","internal-pdf://1609915988.pdf"
"1973",1973,"South Africa","internal-pdf://1609915988.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"South Africa",""
"",NA,"United States","internal-pdf://1100312109.pdf;internal-pdf://2457284182.pdf;internal-pdf://0251931699.pdf"
"1992",1996,"Argentina","internal-pdf://1636513940.pdf;internal-pdf://0629421650.pdf;internal-pdf://1492272921.pdf;internal-pdf://1655675668.pdf;internal-pdf://1660407921.pdf"
"1994",1994,"United States","internal-pdf://2914572150.pdf;internal-pdf://2480984474.pdf;;internal-pdf://2573831033.pdf;internal-pdf://2764266581.pdf"
"1992",1992,"Germany",NA
"",NA,"Sweden",NA
"",NA,"Australia",""
"",NA,"Australia",""
"",NA,"Australia",""
"",NA,"Australia",""
"",NA,"Germany",NA
"1993",1993,"Germany",""
"1992",1992,"Germany",""
"1992",1992,"Germany",""
"1992",1992,"Germany",""
"1993",1993,"Germany",""
"1997",1997,"Austria",""
"",NA,"Uganda",""
"",NA,"Uganda",""
"",NA,"Uganda",""
"",NA,"Uganda",""
"",NA,"Uganda",""
"",NA,"Uganda",""
"",NA,"Panama","internal-pdf://3618741902.pdf;internal-pdf://4267875357.pdf"
"",NA,"Australia","internal-pdf://0281050452.pdf;internal-pdf://3490871707.pdf"
"",NA,"Australia","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Panama","internal-pdf://3618741902.pdf;internal-pdf://4267875357.pdf"
"",NA,"Panama","internal-pdf://3618741902.pdf;internal-pdf://4267875357.pdf"
"",NA,"Panama","internal-pdf://3618741902.pdf;internal-pdf://4267875357.pdf"
"",NA,"Panama","internal-pdf://3618741902.pdf;internal-pdf://4267875357.pdf"
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"2003",NA,"India",""
"",NA,"Sri Lanka",""
"",NA,"Nigeria",""
"",NA,"Senegal","internal-pdf://1347402211.pdf"
"",NA,"Senegal","internal-pdf://1347402211.pdf"
"",NA,"Serbia","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"",NA,"Uganda",""
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"Zambia","internal-pdf://1351986620.pdf"
"",NA,"Zambia","internal-pdf://1351986620.pdf"
"",NA,"Zambia","internal-pdf://1351986620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Australia","internal-pdf://3138036620.pdf"
"",NA,"Egypt","internal-pdf://2820682895.pdf"
"",NA,"",""
"",NA,"",""
"",NA,"",""
"",NA,"Iran","internal-pdf://1601876396.pdf"
"",NA,"Jordan","internal-pdf://2498380585.pdf"
"",NA,"Jordan","internal-pdf://2498380585.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
"",NA,"Kenya","internal-pdf://1564918366.pdf"
